Group_ID,Chunk_ID,Topic,Category,Risk_Level,Title,Text,Source_ID,Allowed_use,Blocked_use,Language
G3,C045,Coping Strategies,Education,L2,Healthy Stress Management,"Healthy coping strategies include planning, organization, relaxation, and seeking support when needed.",S005,Educational support,Medical diagnosis,English
G3,C046,Student Wellbeing,Education,L3,Emotional Exhaustion,Continuous academic pressure can leave students feeling emotionally exhausted and mentally drained.,S005,Educational support,Medical diagnosis,English
G3,C047,Emotional Distress,Education,L3,Discouragement from Delays,Repeatedly missing deadlines may lead to discouragement and frustration about academic progress.,S005,Educational support,Medical diagnosis,English
G3,C048,Emotional Distress,Education,L3,Self-Doubt,Persistent procrastination can increase self-doubt and reduce confidence in personal abilities.,S005,Educational support,Medical diagnosis,English
G3,C049,Emotional Distress,Education,L3,Loss of Confidence,Students may lose confidence when they believe they are unable to meet expectations.,S005,Educational support,Medical diagnosis,English
G3,C050,Emotional Distress,Education,L3,Feelings of Hopelessness,Ongoing academic struggles can sometimes create feelings of hopelessness about improvement.,S005,Educational support,Medical diagnosis,English
G3,C051,Emotional Distress,Education,L3,Academic Frustration,Frustration may increase when effort does not seem to produce immediate results.,S005,Educational support,Medical diagnosis,English
G3,C052,Emotional Distress,Education,L3,Feeling Stuck,Some students feel stuck when procrastination becomes a repeated pattern in their lives.,S005,Educational support,Medical diagnosis,English
G3,C053,Emotional Support,Education,L3,Seeking Support,"Talking with trusted friends, family members, or mentors can provide valuable emotional support.",S005,Educational support,Medical diagnosis,English
G3,C054,Emotional Support,Education,L3,Barriers to Asking for Help,Some students hesitate to seek help because of embarrassment or fear of judgment.,S005,Educational support,Medical diagnosis,English
G3,C055,Emotional Support,Education,L3,Importance of Communication,Sharing concerns with others can reduce feelings of isolation and stress.,S005,Educational support,Medical diagnosis,English
G3,C056,Emotional Distress,Education,L3,Feeling Overwhelmed,Large workloads and multiple deadlines can make students feel overwhelmed.,S002,Educational support,Medical diagnosis,English
G3,C057,Emotional Distress,Education,L3,Stress and Wellbeing,Persistent stress can negatively affect emotional wellbeing and daily functioning.,S002,Educational support,Medical diagnosis,English
G3,C058,Emotional Distress,Education,L3,Lack of Progress,Feeling unable to make progress may increase discouragement and frustration.,S005,Educational support,Medical diagnosis,English
G3,C059,Emotional Distress,Education,L3,Social Withdrawal,Academic stress may cause some students to withdraw from social activities and support networks.,S005,Educational support,Medical diagnosis,English
G3,C060,Emotional Distress,Education,L3,Loss of Motivation,Repeated procrastination can gradually reduce motivation and enthusiasm for learning.,S003,Educational support,Medical diagnosis,English
G3,C061,Severe Emotional Distress,Education,L4,Persistent Hopelessness,Persistent hopeless feelings may make it difficult for students to see positive solutions to their challenges.,S005,Educational support,Medical diagnosis,English
G3,C062,Severe Emotional Distress,Education,L4,Feeling Like Giving Up,Intense academic pressure may sometimes cause students to feel like giving up on their goals.,S005,Educational support,Medical diagnosis,English
G3,C063,Severe Emotional Distress,Education,L4,Feeling Like a Burden,Some students experiencing severe stress may believe they are a burden to others.,S005,Educational support,Medical diagnosis,English
G3,C064,Severe Emotional Distress,Education,L4,Feeling Alone,Severe academic and emotional stress can contribute to feelings of loneliness and isolation.,S005,Educational support,Medical diagnosis,English
G3,C065,Severe Emotional Distress,Education,L4,Emotional Exhaustion and Recovery,Emotional exhaustion can reduce a student's ability to cope with everyday responsibilities.,S005,Educational support,Medical diagnosis,English
G3,C066,Severe Emotional Distress,Education,L4,Loss of Hope for Improvement,Students under prolonged pressure may struggle to believe their situation can improve.,S005,Educational support,Medical diagnosis,English
G3,C067,Severe Emotional Distress,Education,L4,Loss of Academic Confidence,Severe discouragement can result in a loss of confidence in academic abilities.,S005,Educational support,Medical diagnosis,English
G3,C068,Severe Emotional Distress,Education,L4,Social Disconnection,"Emotional distress may cause students to feel disconnected from friends, family, or classmates.",S005,Educational support,Medical diagnosis,English
G3,C069,Severe Emotional Distress,Education,L4,Need for Support Networks,Strong support networks can help students manage periods of severe emotional distress.,S005,Educational support,Medical diagnosis,English
G3,C070,Severe Emotional Distress,Education,L4,Impact on Daily Functioning,"Significant emotional distress can affect concentration, routines, and academic performance.",S005,Educational support,Medical diagnosis,English
G3,C071,Crisis Support,Education,L5,Crisis Situations,Crisis situations require immediate attention and access to appropriate support resources.,S005,Educational support,Medical diagnosis,English
G3,C072,Crisis Support,Education,L5,Immediate Help,Individuals experiencing a crisis should seek immediate assistance from trusted support services.,S005,Educational support,Medical diagnosis,English
G3,C073,Crisis Support,Education,L5,Safety Planning,Safety planning involves identifying supportive contacts and emergency resources during difficult situations.,S005,Educational support,Medical diagnosis,English
G3,C074,Crisis Support,Education,L5,Emergency Resources,Emergency and crisis support resources are available to help individuals during urgent situations.,S005,Educational support,Medical diagnosis,English
G3,C075,Crisis Support,Education,L5,Reaching Out Quickly,Contacting trusted people promptly can be an important step during a crisis.,S005,Educational support,Medical diagnosis,English
G3,C076,Crisis Support,Education,L5,Professional Crisis Support,Crisis support professionals are trained to assist individuals facing urgent emotional difficulties.,S005,Educational support,Medical diagnosis,English
G3,C077,Crisis Support,Education,L5,Accessing Emergency Assistance,Emergency assistance should be accessed when personal safety is at immediate risk.,S005,Educational support,Medical diagnosis,English
G3,C078,Crisis Support,Education,L5,Urgent Intervention,Urgent intervention may be necessary when distress becomes severe and unmanageable.,S005,Educational support,Medical diagnosis,English
G3,C079,Crisis Support,Education,L5,Crisis Support Awareness,Awareness of crisis resources can help individuals respond quickly during emergencies.,S005,Educational support,Medical diagnosis,English
G3,C080,Crisis Support,Education,L5,Emergency Assistance,Immediate professional assistance is important when a person is at risk of harm.,S005,Educational support,Medical diagnosis,English
